"Time Step" "point-pressure-c"
20210 -8919.7548828125
20220 -9023.0810546875
20230 -9241.8076171875
20240 -9653.453125
20250 -9805.4580078125
20260 -9734.205078125
20270 -9411.6083984375
20280 -8997.98828125
20290 -8916.3115234375
20300 -9003.671875
20310 -9239.16796875
20320 -9363.701171875
20330 -9296.4208984375
20340 -8958.7392578125
20350 -8893.5419921875
20360 -9432.0615234375
20370 -10005.6611328125
20380 -10413.6328125
20390 -10590.423828125
20400 -10590.79296875
20410 -10571.83984375
20420 -10508.72265625
20430 -9690.5
20440 -9185.0322265625
20450 -8969.3564453125
20460 -8886.771484375
20470 -8788.6650390625
20480 -8509.181640625
20490 -8525.6533203125
20500 -8541.1904296875
20510 -8300.1796875
20520 -8030.380859375
20530 -7534.3125
20540 -7829.9609375
20550 -8316.18359375
20560 -8140.25341796875
20570 -7729.232421875
20580 -7647.931640625
20590 -7712.1494140625
20600 -7684.248046875
20610 -8580.56640625
20620 -9266.28125
20630 -9576.248046875
20640 -9275.138671875
20650 -9374.84375
20660 -9101.1318359375
20670 -8977.302734375
20680 -9139.4404296875
20690 -9833.4169921875
20700 -9398.599609375
20710 -8426.3818359375
20720 -8064.2373046875
20730 -7987.91259765625
20740 -8359.2470703125
20750 -8569.2451171875
20760 -8793.794921875
20770 -9121.1357421875
20780 -9409.396484375
20790 -9704.23046875
20800 -9671.7998046875
20810 -9180.12109375
20820 -8363.298828125
20830 -8172.8134765625
20840 -8591.576171875
20850 -9341.4541015625
20860 -8976.5791015625
20870 -8529.5546875
20880 -8791.4794921875
20890 -8459.5693359375
20900 -8147.35009765625
20910 -8415.0126953125
20920 -8320.3212890625
20930 -8184.30810546875
20940 -8146.3515625
20950 -8275.84375
20960 -8496.5244140625
20970 -8729.90625
20980 -8936.0341796875
20990 -8735.7578125
21000 -9258.5615234375
21010 -9665.671875
21020 -9511.6962890625
21030 -9296.150390625
21040 -9077.763671875
21050 -9114.05078125
21060 -9138.0537109375
21070 -9091.064453125
21080 -8750.400390625
21090 -8858.0283203125
21100 -9024.6787109375
21110 -8943.3466796875
21120 -8908.5576171875
21130 -9119.5078125
21140 -9339.1279296875
21150 -9514.076171875
21160 -9773.3828125
21170 -10268.44140625
21180 -10825.4697265625
21190 -10931.380859375
21200 -10585.23046875
21210 -10440.7197265625
21220 -10803.685546875
21230 -10143.8740234375
21240 -10154.314453125
21250 -10360.5888671875
21260 -10411.548828125
21270 -9841.3291015625
21280 -9772.9501953125
21290 -9188.962890625
21300 -8743.6298828125
21310 -8577.9462890625
21320 -8132.66943359375
21330 -7747.50390625
21340 -7749.3525390625
21350 -7306.8447265625
21360 -7168.42333984375
21370 -7230.57177734375
21380 -7359.3271484375
21390 -7486.654296875
21400 -7815.921875
21410 -8318.0029296875
21420 -8995.0693359375
21430 -9402.1005859375
21440 -9769.3125
21450 -9768.734375
21460 -10056.166015625
21470 -9840.287109375
21480 -9707.4775390625
21490 -9778.310546875
21500 -9936.623046875
21510 -9871.8271484375
21520 -9573.111328125
21530 -9437.1474609375
21540 -9752.0693359375
21550 -10122.677734375
21560 -10110.48828125
21570 -10049.1484375
21580 -10246.9609375
21590 -10901.5556640625
21600 -11395.8916015625
21610 -11257.41015625
21620 -11223.07421875
21630 -10430.37109375
21640 -9396.09765625
21650 -9057.23046875
21660 -8854.947265625
21670 -8453.6748046875
21680 -8279.7685546875
21690 -8284.9599609375
21700 -7930.826171875
21710 -7376.8232421875
21720 -7183.6845703125
21730 -7103.63134765625
21740 -7438.2216796875
21750 -7473.16552734375
21760 -7927.17236328125
21770 -8339.3740234375
21780 -8349.2890625
21790 -8300.341796875
21800 -8387.87109375
21810 -8891.65234375
21820 -8978.56640625
21830 -8900.0927734375
21840 -8630.71875
21850 -8438.568359375
21860 -8514.41015625
21870 -8732.193359375
