nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0
2,-0.021189971,-0.021189971,0.006562001,0.919484377
3,-0.021162361,-0.021162363,0.006562001,1.498264432
4,-0.021129269,-0.021129267,0.006562,1.948861361
5,-0.02108961,-0.021089612,0.006562001,2.322362661
6,-0.021042114,-0.021042114,0.006562,2.654367924
7,-0.020985276,-0.020985276,0.006562001,2.956840038
8,-0.02090802,-0.02090802,0.006562,3.249195576
9,-0.020785252,-0.020785252,0.006562001,3.478125095
10,-0.020633833,-0.020633835,0.006562001,3.677178621
11,-0.020572862,-0.020572864,0.006562001,3.735032082
12,-0.020375982,-0.020375984,0.006562001,3.859547138
13,-0.020316862,-0.020316862,0.006562001,3.886698961
14,-0.020137088,-0.020137088,0.006562001,3.958367825
15,-0.019967264,-0.019967264,0.006562001,4.028591156
16,-0.019869238,-0.019869238,0.006562001,4.070804596
17,-0.019798733,-0.019798733,0.006562001,4.127313614
18,-0.019699417,-0.019699419,0.006562001,4.135766983
19,-0.019489368,-0.019489368,0.006562,4.191360474
20,-0.019200001,-0.019200001,0.006562,4.249988079
21,-0.01888,-0.01888,0.006562,4.310360909
22,-0.01856,-0.01856,0.006562,4.402814865
23,-0.018239999,-0.018239999,0.006562,4.558326244
24,-0.01792,-0.01792,0.006562,4.84844923
25,-0.0176,-0.0176,0.006562,5.271361351
26,-0.017279999,-0.017279999,0.006562,5.620088577
27,-0.016960001,-0.016960001,0.006562,5.760130882
28,-0.01664,-0.01664,0.006562,5.772557259
29,-0.016319999,-0.016319999,0.006562,5.737385273
30,-0.016000001,-0.016000001,0.006562,5.680819511
31,-0.01568,-0.01568,0.006562,5.608369827
32,-0.01536,-0.01536,0.006562,5.518924236
33,-0.01504,-0.01504,0.006562,5.411117077
34,-0.01472,-0.01472,0.006562,5.288440704
35,-0.0144,-0.0144,0.006562,5.156980038
36,-0.01408,-0.01408,0.006562,5.022333622
37,-0.01376,-0.01376,0.006562,4.888654709
38,-0.01344,-0.01344,0.006562,4.758601189
39,-0.01312,-0.01312,0.006562,4.631159306
40,-0.0128,-0.0128,0.006562,4.504625797
41,-0.01248,-0.01248,0.006562,4.377156258
42,-0.01216,-0.01216,0.006562,4.245951653
43,-0.01184,-0.01184,0.006562,4.112586498
44,-0.01152,-0.01152,0.006562,3.981126308
45,-0.0112,-0.0112,0.006562,3.8557024
46,-0.01088,-0.01088,0.006562,3.73860836
47,-0.01056,-0.01056,0.006562,3.629071951
48,-0.01024,-0.01024,0.006562,3.524256706
49,-0.00992,-0.00992,0.006562,3.41929698
50,-0.0096,-0.0096,0.006562,3.303593636
51,-0.00928,-0.00928,0.006562,3.156554222
52,-0.00896,-0.00896,0.006562,2.956915379
53,-0.00864,-0.00864,0.006562,2.710304976
54,-0.00832,-0.00832,0.006562,2.460326195
55,-0.008,-0.008,0.006562,2.274580956
56,-0.00768,-0.00768,0.006562,2.169587135
57,-0.00736,-0.00736,0.006562,2.049242258
58,-0.00704,-0.00704,0.006562,1.797598481
59,-0.00672,-0.00672,0.006562,1.410111904
60,-0.0064,-0.0064,0.006562,1.072544336
61,-0.00608,-0.00608,0.006562,0.978534102
62,-0.00576,-0.00576,0.006562,1.064756989
63,-0.00544,-0.00544,0.006562,1.093914032
64,-0.00512,-0.00512,0.006562,0.993360639
65,-0.0048,-0.0048,0.006562,0.875382304
66,-0.00448,-0.00448,0.006562,0.83605969
67,-0.00416,-0.00416,0.006562,0.894417048
68,-0.00384,-0.00384,0.006562,1.032892346
69,-0.00352,-0.00352,0.006562,1.181828499
70,-0.003261731,-0.003261731,0.006562,1.249293208
71,-0.003110328,-0.003110328,0.006562,1.254550219
72,-0.00304391,-0.00304391,0.006562001,1.247597814
73,-0.002989858,-0.002989858,0.006562001,1.236269593
74,-0.002944678,-0.002944678,0.006562001,1.221256375
75,-0.002906908,-0.002906908,0.006562,1.200458646
76,-0.002875368,-0.002875368,0.006562,1.168663025
77,-0.002849019,-0.002849019,0.006562,1.120597482
78,-0.002827035,-0.002827035,0.006562,1.046284437
