nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0
2,-0.021189971,-0.021189971,0.006562001,1.116205454
3,-0.021162361,-0.021162363,0.006562001,2.25719738
4,-0.021129269,-0.021129267,0.006562,3.143177986
5,-0.02108961,-0.021089612,0.006562001,3.643998861
6,-0.021042114,-0.021042114,0.006562,3.868412971
7,-0.020985276,-0.020985276,0.006562001,3.967735529
8,-0.02090802,-0.02090802,0.006562,4.037842274
9,-0.020785252,-0.020785252,0.006562001,4.117827415
10,-0.020633833,-0.020633835,0.006562001,4.199061871
11,-0.020572862,-0.020572864,0.006562001,4.223371506
12,-0.020375982,-0.020375984,0.006562001,4.261394501
13,-0.020316862,-0.020316862,0.006562001,4.260242462
14,-0.020137088,-0.020137088,0.006562001,4.224583149
15,-0.019967264,-0.019967264,0.006562001,4.16710186
16,-0.019869238,-0.019869238,0.006562001,4.121636868
17,-0.019798733,-0.019798733,0.006562001,4.096158981
18,-0.019699417,-0.019699419,0.006562001,4.093358994
19,-0.019489368,-0.019489368,0.006562,4.196660995
20,-0.019200001,-0.019200001,0.006562,4.573605061
21,-0.01888,-0.01888,0.006562,5.316658497
22,-0.01856,-0.01856,0.006562,5.7659235
23,-0.018239999,-0.018239999,0.006562,5.874379158
24,-0.01792,-0.01792,0.006562,5.933892727
25,-0.0176,-0.0176,0.006562,5.877995491
26,-0.017279999,-0.017279999,0.006562,5.687992096
27,-0.016960001,-0.016960001,0.006562,5.447176933
28,-0.01664,-0.01664,0.006562,5.271726608
29,-0.016319999,-0.016319999,0.006562,5.192624092
30,-0.016000001,-0.016000001,0.006562,5.207465172
31,-0.01568,-0.01568,0.006562,5.280431271
32,-0.01536,-0.01536,0.006562,5.339517117
33,-0.01504,-0.01504,0.006562,5.349725246
34,-0.01472,-0.01472,0.006562,5.315730572
35,-0.0144,-0.0144,0.006562,5.25075531
36,-0.01408,-0.01408,0.006562,5.163996696
37,-0.01376,-0.01376,0.006562,5.057818413
38,-0.01344,-0.01344,0.006562,4.933321476
39,-0.01312,-0.01312,0.006562,4.790906429
40,-0.0128,-0.0128,0.006562,4.632226944
41,-0.01248,-0.01248,0.006562,4.463838577
42,-0.01216,-0.01216,0.006562,4.297347069
43,-0.01184,-0.01184,0.006562,4.143302917
44,-0.01152,-0.01152,0.006562,4.003001213
45,-0.0112,-0.0112,0.006562,3.870698452
46,-0.01088,-0.01088,0.006562,3.741705894
47,-0.01056,-0.01056,0.006562,3.616754532
48,-0.01024,-0.01024,0.006562,3.497108698
49,-0.00992,-0.00992,0.006562,3.381608486
50,-0.0096,-0.0096,0.006562,3.266764641
51,-0.00928,-0.00928,0.006562,3.147790194
52,-0.00896,-0.00896,0.006562,3.018862009
53,-0.00864,-0.00864,0.006562,2.869967937
54,-0.00832,-0.00832,0.006562,2.699607849
55,-0.008,-0.008,0.006562,2.594497681
56,-0.00768,-0.00768,0.006562,2.496488571
57,-0.00736,-0.00736,0.006562,2.294269323
58,-0.00704,-0.00704,0.006562,2.033823013
59,-0.00672,-0.00672,0.006562,1.756209016
60,-0.0064,-0.0064,0.006562,1.487002015
61,-0.00608,-0.00608,0.006562,1.208266497
62,-0.00576,-0.00576,0.006562,1.097591639
63,-0.00544,-0.00544,0.006562,1.281079173
64,-0.00512,-0.00512,0.006562,1.345430136
65,-0.0048,-0.0048,0.006562,1.296792746
66,-0.00448,-0.00448,0.006562,1.243721724
67,-0.00416,-0.00416,0.006562,1.285921335
68,-0.00384,-0.00384,0.006562,1.457472444
69,-0.00352,-0.00352,0.006562,1.716333628
70,-0.003261731,-0.003261731,0.006562,1.950287342
71,-0.003110328,-0.003110328,0.006562,2.044380903
72,-0.00304391,-0.00304391,0.006562001,2.038336277
73,-0.002989858,-0.002989858,0.006562001,1.982106924
74,-0.002944678,-0.002944678,0.006562001,1.872119188
75,-0.002906908,-0.002906908,0.006562,1.708967328
76,-0.002875368,-0.002875368,0.006562,1.507442236
77,-0.002849019,-0.002849019,0.006562,1.289029241
78,-0.002827035,-0.002827035,0.006562,1.046284437
