"Time Step" "point-ho-a"
0 7.583224214613438e-05
10 7.582793477922678e-05
20 7.585313869640231e-05
30 7.590440509375185e-05
40 7.598257070640102e-05
50 7.609104795847088e-05
60 7.623093551956117e-05
70 7.64039796194993e-05
80 7.661368726985529e-05
90 7.686240132898092e-05
100 7.715541869401932e-05
110 7.749976794002578e-05
120 7.790142990415916e-05
130 7.83650393714197e-05
140 7.889170228736475e-05
150 7.948019629111513e-05
160 8.01279311417602e-05
170 8.083163265837356e-05
180 8.158676791936159e-05
190 8.23807786218822e-05
200 8.320598863065243e-05
210 8.405575499637052e-05
220 8.492336928611621e-05
230 8.580547000747174e-05
240 8.670069655636325e-05
250 8.760791388340294e-05
260 8.852906466927379e-05
270 8.947227615863085e-05
280 9.043912723427638e-05
290 9.142092312686145e-05
300 9.24153282539919e-05
310 9.342811245005578e-05
320 9.445978503208607e-05
330 9.551190305501223e-05
340 9.658844646764919e-05
350 9.77008676272817e-05
360 9.885639883577824e-05
370 0.0001000589472823776
380 0.0001013164364849217
390 0.0001026334794005379
400 0.0001040066126734018
410 0.0001054278109222651
420 0.0001068869096343406
430 0.0001083762472262606
440 0.0001098909488064237
450 0.0001114286205847748
460 0.0001129898082581349
470 0.0001145799760706723
480 0.0001162036569439806
490 0.0001178636302938685
500 0.0001195610966533422
510 0.0001212937277159654
520 0.0001230591878993437
530 0.0001248660119017586
540 0.0001267227635253221
550 0.0001286235346924514
560 0.0001305575860897079
570 0.0001325077755609527
580 0.0001344523770967498
590 0.0001363755291095003
600 0.0001382568298140541
610 0.0001400738838128746
620 0.0001418017345713452
630 0.0001434156729374081
640 0.0001449049887014553
650 0.0001462612417526543
660 0.0001474791934015229
670 0.0001485528482589871
680 0.0001494829048169777
690 0.0001502745726611465
700 0.0001509365829406306
710 0.0001514813775429502
720 0.0001519279612693936
730 0.0001522944367025048
740 0.0001525932311778888
750 0.000152832391904667
760 0.000153018394485116
770 0.0001531580201117322
780 0.0001532547757960856
790 0.0001533075992483646
800 0.0001533119502710178
810 0.0001532612513983622
820 0.0001531509915366769
830 0.0001529725268483162
840 0.0001527196291135624
850 0.0001523891260148957
860 0.0001519864308647811
870 0.0001515176263637841
880 0.0001509946887381375
890 0.0001504480751464143
900 0.0001498939091106877
910 0.0001493336458224803
920 0.0001487661938881502
930 0.0001481869694544002
940 0.0001475925673730671
950 0.0001469782291678712
960 0.0001463372609578073
970 0.0001456630416214466
980 0.0001449509582016617
990 0.0001441994827473536
1000 0.000143406490678899
1010 0.0001425698719685897
1020 0.0001416891755070537
1030 0.0001407648378517479
1040 0.0001397952728439122
1050 0.0001387789670843631
1060 0.0001377164589939639
1070 0.000136610382469371
1080 0.0001354646956315264
1090 0.0001342792820651084
1100 0.0001330581872025505
1110 0.0001318032736890018
1120 0.0001305189216509461
1130 0.0001292115630349144
1140 0.0001278891140827909
1150 0.0001265556493308395
1160 0.0001252143119927496
1170 0.0001238668046426028
1180 0.0001225149753736332
1190 0.0001211644193972461
1200 0.0001198248864966445
1210 0.0001185104192700237
1220 0.0001172362099168822
1230 0.0001160152241936885
1240 0.000114861482870765
1250 0.0001137888611992821
1260 0.0001128111762227491
1270 0.0001119393273256719
1280 0.000111177701910492
1290 0.0001105255360016599
1300 0.0001099841028917581
1310 0.0001095531551982276
1320 0.0001092287129722536
1330 0.0001090039440896362
1340 0.0001088684075511992
1350 0.0001088121134671383
1360 0.0001088156495825388
1370 0.0001088640565285459
1380 0.000108957858174108
1390 0.0001090892474167049
1400 0.0001092532693292014
1410 0.0001094485050998628
1420 0.0001096722480724566
1430 0.0001099228757084347
1440 0.0001102048991015181
1450 0.0001105187329812907
1460 0.0001108607539208606
1470 0.000111228582682088
1480 0.0001116217536036856
1490 0.0001120447705034167
1500 0.0001125030103139579
1510 0.0001129958691308275
1520 0.000113519563456066
1530 0.0001140699969255365
1540 0.0001146380236605182
1550 0.0001152165641542524
1560 0.0001157941806013696
1570 0.0001163644119515084
1580 0.0001169279930763878
1590 0.0001174848293885589
1600 0.0001180350955110043
1610 0.0001185748478746973
1620 0.0001191019473480992
1630 0.0001196098965010606
1640 0.000120099532068707
1650 0.000120571072329767
1660 0.0001210234986501746
1670 0.0001214578369399533
1680 0.0001218808320118114
1690 0.0001223016297444701
1700 0.0001227314496645704
1710 0.0001231826317962259
1720 0.0001236654643435031
1730 0.0001241880527231842
1740 0.0001247541513293982
1750 0.0001253643713425845
1760 0.0001260159187950194
1770 0.0001266999752260745
1780 0.0001274019741686061
1790 0.0001280977885471657
1800 0.0001287679333472624
1810 0.000129391482914798
1820 0.0001299470313824713
1830 0.0001304183679167181
1840 0.0001307926577283069
1850 0.0001310610387008637
1860 0.0001312207023147494
1870 0.0001312688400503248
1880 0.0001312005915679038
1890 0.0001310151710640639
1900 0.0001307196798734367
1910 0.0001303210010519251
